Level,Date and Time,Source,Event ID,Task Category
Error,21/3/2025 8:19:26 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:23 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:21 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:18 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:16 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:13 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:11 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:08 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:06 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:03 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:19:01 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:58 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:56 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:53 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:51 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:48 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
Error,21/3/2025 8:18:46 AM,nvlddmkm,153,None,"The description for Event ID 153 from source nvlddmkm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

\Device\Video3
Error occurred on GPUID: 100

The message resource is present but the message was not found in the message table
"
